ID	ステータス	シリーズ	資料タイプ	候補タイトル	一次資料URL	一次資料到達状態	現代との接続仮説	記事化タイトル案	面白さ	現代接続	一次資料	検証難度	収益化	総合優先度	未確認ポイント	次アクション	メモ	専門家に突っ込まれそうな点	正確な言い換え
CS-004	Source Found	化粧品特許	特許	ニベア（水中油型エマルション）特許	https://patents.google.com/patent/DE200619C	Primary Found Not Read	水と油を安定混合するエマルション技術が現代の保湿化粧品・医薬品製剤の前史として読める	1911年Beiersdrof が特許にしたニベアクリーム──エマルション安定化という100年前の発明	4	4	2	4	3	13	ドイツ特許（DE）取得難度・Eucerit（ラノリン誘導体）の化学的記述・Beiersdrof社史との照合	ドイツ特許庁でDE200619Cの内容を確認（英語資料少）	Beiersdorf AG（ドイツ）、Oskar Troplowitz/Isaac Lifschütz共同開発（1911年）	現代の保湿クリームとはエマルション安定剤・界面活性剤・処方が根本的に異なる。「ニベア＝現代保湿の発明」は誇張	水中油型エマルション安定化の初期例。現代の保湿製剤技術とは素材・処方が根本的に異なる
HW-001	Source Found	ハードウェア・エネルギー特許	特許	トランジスタ特許	https://patents.google.com/patent/US2524035	Primary Found Not Read	半導体増幅素子という発明が現代のすべての電子機器の前史として読める	Bell Labsが1948年に特許にしたトランジスタ──US2524035がシリコン時代を作った	5	5	5	3	3	16	Shockleyの接合型トランジスタ（別特許）との関係・Bell LabsがIBM等にライセンスした経緯・1950年の価格	Claim 1と点接触型トランジスタの技術記述確認	Bell Telephone Laboratories、Bardeen/Brattain。成立1950年10月3日	現代のMOSFETはBardeenらの点接触型トランジスタとは構造が根本的に異なる	点接触型半導体増幅素子の先行例。現代のMOSFET/FinFETとは設計思想が根本的に別
HW-002	Source Found	ハードウェア・エネルギー特許	特許	集積回路特許（Kilby）	https://patents.google.com/patent/US3138743	Primary Found Not Read	複数素子を同一基板上に集積するという発想が現代のCPU/GPU/SoCの前史として読める	Texas Instrumentsが1964年に特許にした集積回路──US3138743がシリコンチップを作った	5	5	5	3	3	16	Kilby vs Noyce（Fairchild）の特許競争・2000年Nobel賞（Noyce死去で単独受賞）・最初のデモ動画	Claim 1と集積化の具体的記述確認	Texas Instruments、Jack S. Kilby。1959年出願・1964年成立	KilbyのゲルマニウムとNoyceのシリコン（平面型）は異なるアーキテクチャ。現代SoCはNoyce型の発展	複数電子素子の単一基板集積の先行例。現代のMOSFET集積回路とは製造方式・材料が根本的に異なる
HW-003	Source Found	ハードウェア・エネルギー特許	特許	フラッシュメモリ特許（舛岡富士雄）	https://patents.google.com/patent/US4531203	Primary Found Not Read	EEPROMの一括消去という発明がSSD・スマホストレージ・USB記憶媒体の前史として読める	東芝の舛岡富士雄が1980年に特許にしたフラッシュメモリ──US4531203が1兆円市場を作った	5	5	3	3	3	14	東芝社内での扱い（開発費ゼロ・社内評価低かった）・Intel/東芝の特許クロスライセンス経緯・現代NAND/NOR型の差	URL確認後にClaim 1確認	東芝、舛岡富士雄（Fujio Masuoka）。1980年出願・1982年成立（US4531203）	NOR型フラッシュとNAND型フラッシュは舛岡の特許から異なる設計として発展。混同しないように	EEPROMの一括消去（フラッシュ）による書き換え可能不揮発性記憶の先行例。現代3D NANDとは積層構造が異なる
HW-004	Source Found	ハードウェア・エネルギー特許	特許	リチウムイオン電池特許（Goodenough）	https://patents.google.com/patent/US4302518	Primary Found Not Read	コバルト酸リチウム正極材料の発見が現代のEV・スマホ・再エネ貯蔵の前史として読める	GoodenoughがOxfordで1980年に特許にしたLiCoO2──US4302518が電気自動車時代を作った	5	5	3	3	4	16	Goodenough（2019年Nobel賞97歳）・吉野彰とのポリマー電池連携・全固体電池との差	URL確認後にClaim 1確認	University of Oxford、John B. Goodenough（Koichi Mizushima, P.C. Jones, Philip J. Wiseman共同）	初期LiCoO2正極と現代のNMC/LFP/全固体電池は正極材料と電解質が根本的に異なる	コバルト酸リチウム正極による二次電池の前史。現代EVバッテリーは正極材料・電解質が進化している
HW-005	Source Found	ハードウェア・エネルギー特許	特許	青色LED特許（中村修二）	https://patents.google.com/patent/US5578839	Primary Found Not Read	青色発光半導体の発明が白色LED・液晶バックライト・省エネ照明の前史として読める	日亜化学の中村修二が1994年に実現した青色LED──US5578839が光源の歴史を変えた	5	5	3	3	3	14	中村の日亜化学との報酬訴訟（日本初8億円判決→和解）・2014年Nobel賞（赤崎/天野/中村）・特許帰属問題	URL確認後にClaim 1（InGaN活性層の構造）を確認	Nichia Corporation、Shuji Nakamura（中村修二）。1993年実現・特許は複数	特許の帰属（会社vs発明者）と技術自体の評価を分けて書く。中村の報酬訴訟は副次的ストーリー	GaN青色LED実現の前史。現代LEDはInGaN量子井戸構造で効率が格段に向上している
UI-001	Source Found	ソフトウェア・UI特許	特許	マウス特許（Engelbart）	https://patents.google.com/patent/US3541541A/en	Primary Found Not Read	X-Y座標を手の動きで入力するデバイスの発明が現代のポインティングデバイス全般の前史として読める	Engelbartが1967年に特許にしたマウス──US3541541Aが「手でコンピュータを操作する」という問いを立てた	5	4	5	2	3	15	SRIがEngelbart特許でどの程度収益を得たか・Apple Macとの技術関係・ Xerox PARCへの影響	Claim 1（木製筐体・2つの金属ホイール）を確認	Stanford Research Institute、Douglas C. Engelbart + Bill English。1967年出願・1970年成立	現代のレーザー/光学マウスはEngelbartの機械式ホイール設計とは検出方式が根本的に異なる	X-Y座標ポインティングデバイスの初期実装。現代のタッチパッド・タッチスクリーンとは検出原理が異なる
UI-002	Source Found	ソフトウェア・UI特許	特許	GUIウィンドウシステム特許（Xerox PARC）	https://patents.google.com/patent/US4823290	Primary Found Not Read	ウィンドウ・アイコン・メニューという操作概念の発明が現代のすべてのGUIの前史として読める	Xerox PARCが1970年代に設計したGUI──ウィンドウシステム特許が「視覚で操作する」という発想を作った	5	5	3	3	3	14	Alto→Starの系譜・AppleとのXerox技術共有（ウォズの訪問）・特許番号と実際の技術範囲の確認	URL確認後にClaim 1を確認	Xerox Corporation（PARC）、Alan Kay/Butler Lampson/Charles Thacker他	GUIの「発明者がXerox」という単純化は不正確。Engelbartが先行概念を持っていた点を明記	ウィンドウ型GUIの先行設計例。現代のWayland/Compositorとは実装が根本的に異なる
UI-003	Source Found	ソフトウェア・UI特許	特許	スプレッドシート（VisiCalc）著作権・特許	https://patents.google.com/patent/US4398249	Primary Found Not Read	行列形式の計算表現がコンピュータのキラーアプリになった前史として現代のExcel/Google Sheetsと問題意識が重なる	Bricklin-Frankston が1979年に作ったVisiCalc──US4398249（関連特許）が「表計算」という概念を作った	4	4	3	3	3	13	Dan Bricklin著作権vs特許（結局どちらも取らず？）・Lotus 1-2-3との関係・訴訟史	URL確認後にClaim 1を確認	Software Arts/VisiCorp（後にLotusが市場を奪取）、Bricklin/Frankston	特許取得状況は要確認（特許は取らなかったとする説もある）。著作権保護の限界の事例	行列形式自動再計算の先行実装。現代のExcelやGoogle Sheetsとは設計が発展している
ML-008	Source Found	AI・機械学習特許	特許	カプセルネット特許（Capsule Networks）	https://patents.google.com/patent/WO2019083553A1/en	Primary Found Not Read	ダイナミックルーティングによるカプセル型ニューラルネットが現代のObject Detection・視点不変認識と問題意識が重なる	Hintonが2017年に特許にしたカプセルネット──WO2019083553A1が「畳み込みを超える」という問いを立てた	4	4	3	3	3	11	WO番号の米国対応特許番号・Claim 1の逐語確認・CNNとの設計差	URL確認後にClaim 1を確認	Google Brain、Hinton/Sabour/Frosst共同発明者。2017年論文→2019年特許成立	CNNとCapsNetの比較は「どちらが優れているか」に単純化しない	視点不変特徴表現の問題意識の先行例。現代検出モデルとは設計が異なる
ML-009	Source Not Confirmed	AI・機械学習特許	特許	OCR商業化特許（Kurzweil Reading Machine）	https://patents.google.com/patent/US4099260	Source Not Confirmed	手書き・印刷文字の機械読取が現代のOCR・ドキュメントAI・StructuredデータAIの前史として読める	Kurzweilが1978年に特許にしたOCR装置──「機械が活字を読む」という問いの最初期商業実装	4	4	4	3	3	12	US4099260の発明者確認・Kurzweil Computer Products社経緯・現代のAWS Textractとの対比	URL確認・一次資料取得	Ray Kurzweil, Kurzweil Computer Products (1978). 盲人向け読み上げ装置として商業化	OCRと現代のVision Transformer（ViT）ベースドキュメント認識は設計が根本的に異なる	文字領域パターンマッチングの初期商業実装。現代のEnd-to-EndドキュメントAIとは設計が根本的に別
ML-010	Source Not Confirmed	AI・機械学習特許	特許	顔検出特許（Viola-Jones アルゴリズム）	https://patents.google.com/patent/US7099510B2	Source Not Confirmed	カスケード分類器による高速顔検出が現代の顔認識・生体認証・防犯カメラAIの前史として読める	Violaが2004年に特許にした顔検出──カスケード分類器がリアルタイム顔認識を可能にした	4	5	3	3	4	13	US7099510B2の正確な内容・Viola/JonesとIntelの関係・Forward citations	URL確認後にClaim 1を確認	Paul Viola（Microsoft Research後Amazon）、Michael Jones（MERL）。2001年CVPR論文→2004年特許	顔「検出」と顔「認識」（識別）は別問題。Viola-Jonesは検出であり誰かを識別する機能ではない	ハールライクな特徴量+カスケード分類器による高速顔検出の前史。現代CNNベース認識とは特徴抽出が根本的に異なる
ML-011	Source Not Confirmed	AI・機械学習特許	特許	SIFT特徴量特許（スケール不変特徴変換）	https://patents.google.com/patent/US6711293B1	Source Not Confirmed	局所特徴量による画像マッチングが現代のVisual Search・画像類似検索・ARの前史として読める	Loweが1999年に特許にしたSIFT──「スケールに依存しない特徴量」という問いを立てた	4	4	4	3	3	12	US6711293B1の正確なステータス・UBCからの独占ライセンス先・OpenCV実装の経緯	URL確認後にClaim 1を確認	David G. Lowe, University of British Columbia. 後にGoogle（Robotics）に移籍	Deep Learning以降の特徴点マッチングとは手法が根本的に異なる。ORB等の後継手法が特許フリーで普及	局所輝度勾配ヒストグラムによるスケール不変特徴量の前史。現代の深層特徴量とは学習有無が根本的に異なる
ML-012	Source Not Confirmed	AI・機械学習特許	特許	音声合成TTS特許（DECtalk・Klatt合成）	https://patents.google.com/patent/US4805222	Source Not Confirmed	テキストから自然音声を生成する技術が現代のedge-tts・GPT-4o音声・NST合成の前史として読める	Klattが1989年に特許にした音声合成──「機械が自然に話す」という問いのフォルマント合成時代の実装	4	4	3	3	3	11	US4805222の発明者（Dennis Klatt）確認・DECtalk製品との対応・Klatt合成方式の技術詳細	URL確認後にClaim 1確認	Digital Equipment Corporation (DEC)、Dennis Klatt。MIT Labsでの基礎研究→DEC製品化	フォルマント合成（Klatt方式）とニューラルTTS（Tacotron/VITS）は設計が根本的に異なる	フォルマント合成による音声生成の前史。現代のニューラルTTSとは音声生成アーキテクチャが根本的に異なる
ML-013	Source Not Confirmed	AI・機械学習特許	特許	スパムフィルタリング特許（ベイズ文書分類）	https://patents.google.com/patent/US6732157B1	Source Not Confirmed	ベイズ確率によるテキスト分類がスパムフィルタ・コンテンツモデレーション・文書分類AIの前史として読める	Microsoftが2001年に特許にしたスパムフィルタ──ベイズ分類器を大規模メール基盤に適用した記録	3	4	3	3	3	10	US6732157B1の正確な内容・Paul Graham (2002)のベイズスパム論文との対応・現代LLMモデレーションとの接続	URL確認後にClaim 1確認	Microsoft Corp.。Paul Graham (2002)の「A Plan for Spam」が同時期の重要論文	スパム分類の問題意識と現代のLLMコンテンツモデレーションは設計が根本的に異なる	語彙確率モデルによる文書分類の前史。現代のトランスフォーマーベース分類とは設計が根本的に異なる
ML-014	Source Not Confirmed	AI・機械学習特許	特許	強化学習ゲームプレイ特許（Samuel チェッカー）	https://patents.google.com/patent/US2833478	Source Not Confirmed	自己対戦学習によるゲームAIが現代のAlphaGo・RL強化学習エージェントの問題意識と重なる	Samuelが1959年に設計したチェッカーAI──自己改善学習の問いが機械学習の概念を作った	4	4	2	4	3	9	Samuel特許の有無確認（IBM研究論文として発表の可能性）・「Machine Learning」という言葉の初出	一次資料確認（IBM Research Journal 1959論文）・特許有無の確認	Arthur Samuel, IBM。1959年IBM Journal of Research and Development論文が有名。特許の有無は要確認	Samuelのチェッカーと現代のAlphaGoは強化学習の「問題意識」が共通するが、実装は根本的に異なる	自己対戦型強化学習の初期実装例。現代のDRL（Deep Reinforcement Learning）とは設計が根本的に異なる
ML-015	Source Not Confirmed	AI・機械学習特許	特許	遺伝的アルゴリズム特許（Holland）	https://patents.google.com/patent/US4935877	Source Not Confirmed	自然選択・交叉・突然変異による探索最適化が現代のNeural Architecture Search・AutoMLの問題意識と重なる	Hollandの遺伝的アルゴリズム──進化を計算に使う問いがどの特許に記録されたか	3	4	2	4	3	8	US4935877の正確な内容・Holland 1975年著書との関係・特許化の有無確認	URL確認・Holland特許の有無確認	John Holland, University of Michigan。1975年「Adaptation in Natural and Artificial Systems」が基礎。特許は後継研究者が出願の可能性	遺伝的アルゴリズムと現代のNeural Architecture SearchはブラックボックスOptimizationの問題意識が共通するが手法は異なる	進化的計算による探索最適化の前史。現代のAutoML・NASとは実装が根本的に異なる
IC-007	Published	インターネット・暗号特許	特許	Ethernet LAN特許	https://patents.google.com/patent/US4063220A/en	Primary Found Not Read	パケット型ローカルネットワーク通信が現代のLAN・データセンター・クラウドインフラの前史として読める	Xerox PARCが1975年に特許にしたEthernet──US4063220Aが「コンピュータを繋ぐ」という問いの最初の答え	5	5	5	2	4	17	Claim 1の技術内容・MetcalfeとALOHAnetの関係・IEEEへの特許無償提供の経緯	ep28 発掘メモとして公開（2026-05-07）	Xerox Corporation（PARC）、Metcalfe/Boggs/Thacker/Lampson共同発明。1975年出願。CSMA/CD・3 Mbps・同軸ケーブル。発明者4名中3名がACMチューリング賞受賞者	ALOHAnetのアイデアをEthernetで実装した点を明記。Metcalfeの独占発明という単純化は不正確	CSMAコリジョン検出型パケット共有メディアの前史。現代GigabitEthernetはハード・プロトコルが大きく進化
IC-008	Published	インターネット・暗号特許	特許	バーコード（UPC）特許	https://patents.google.com/patent/US2612994A/en	Primary Found Not Read	機械可読コードによる商品識別が現代のQRコード・RFID・サプライチェーン管理の前史として読める	Woodlandが1952年に特許にしたバーコード──US2612994Aが「機械に物を識別させる」という問いを立てた	5	5	5	2	4	17	Claim 1の技術内容・Philco→RCAへの売却経緯・超音波読取りからレーザーへの進化	ep26 発掘ノートとして公開（2026-05-07）	Norman J. Woodland/Bernard Silver、1952年成立、1969年失効。同心円状の光反射線パターン＋光電管読取り。UPC（線形・1973年IBM Laurer設計）とは符号化方式が別物。Philco売却→RCA承継は本特許文書外の公知情報	バーコード普及にはレーザースキャナーという別発明が必要。特許単体ではなく標準化が普及の鍵	幅変調バーパターンによる機械可読コードの前史。現代のQRコードとは符号化方式が大きく異なる
IC-009	Published	インターネット・暗号特許	特許	Bluetooth無線通信特許（Ericsson US6590928B1）	https://patents.google.com/patent/US6590928/en	Primary Read	周波数ホッピングによる短距離無線通信が現代のBLE IoT・補聴器・スマートウォッチの前史として読める	『master clockとmaster addressから周波数ホッピング系列を導く』──EricssonのBluetooth基幹特許US6590928B1がJaap Haartsen単独で1997年に書いたピコネット設計	4	5	4	3	3	13	Claim 2以降・Description全文・Bluetooth SIG（1998年設立）創設経緯一次資料・Bluetooth 1.0仕様書（1999年）原文・Sven Mattissonとの共同研究特許群	公開済（ep35発掘ノート）	【DB確定2026-05-07】Original/Current Assignee「Telefonaktiebolaget LM Ericsson AB」（DB「Ericsson Technology Licensing AB」は不正確、TLMの方が正）。発明者 Jacobus Cornelis Haartsen（Jaap Haartsen）単独。1997-09-17米国出願／2003-07-08米国成立／2018-08-15米国失効。Claim 1全文取得済み	Bluetooth特許はHaartsen特許一本ではなく3,000件以上のSEP特許プール。BLEはNokia Wibree由来の別系統。周波数ホッピング自体はHedy Lamarr 1942年特許 US2292387 が起源	ピコネット型周波数ホッピング無線多元接続の核特許。Bluetooth Classic骨格の起源、BLEは別系統
IC-010	Published	インターネット・暗号特許	特許	QRコード特許（Toyota Central R&D Labs+NipponDenso US5726435A）	https://patents.google.com/patent/US5726435A/en	Primary Read	2次元マトリクスコードが現代のQRコード決済・認証・在庫管理の前史として読める	『どの方向から走査しても1:1:3:1:1』──デンソー＋豊田中研のQRコード特許US5726435Aが1994年に書いた『平面に情報を詰める』作法	5	5	4	2	3	15	Claim 2以降・Description全文・ISO/IEC 18004標準化過程・ロイヤリティフリー方針表明の一次資料・派生規格特許群・QR Code商標	公開済（ep32発掘ノート）	【DB訂正2026-05-07】発明者は原昌宏単独ではなく5名共同（Masahiro Hara・Motoaki Watabe・Tadao Nojiri・Takayuki Nagaya・Yuji Uchiyama）。Original Assignee は Toyota Central R&D Labs Inc + NipponDenso Co Ltd 共同譲受、Current Assignee は Denso Wave Inc + Toyota Central R&D Labs Inc。1994-03-14日本優先（JP4258794A）／1995-03-14米国出願／1998-03-10米国成立／2015-03-14米国失効	Denso Waveは特許を保有しつつロイヤリティフリーで開放した点が重要。特許フリーとは言えない／原氏単独発明は不正確（5名共同）／単一特許 vs 標準仕様 vs 派生規格群の混同	マトリクス型2次元バーコードの前史。現代のMicroQR等は異なる規格
IC-011	Published	インターネット・暗号特許	特許	CDMA携帯通信特許（Qualcomm US4901307A）	https://patents.google.com/patent/US4901307A/en	Primary Read	CDMA方式による多重アクセス通信がIS-95（cdmaOne）→ cdma2000 → 3G WCDMAの前史として読める。4G LTE/5G NRはOFDMAで別系統	『1986年、Qualcommは衛星リピータ向けにCDMAを書いた』──US4901307AはJacobsだけでなくGilhousen/Weaverとの3名共同発明だった	4	5	3	4	4	12	Claim 2以降・Description全文・Klein S. Gilhousen の Linkabit 経歴・Lindsay A. Weaver, Jr. の経歴・Viterbi が発明者として名を連ねる別のCDMA関連Qualcomm特許群・IS-95原文・Qualcomm各種訴訟一次資料	公開済（ep36発掘メモ）	【DB訂正2026-05-07】発明者は Klein S. Gilhousen / Irwin M. Jacobs / Lindsay A. Weaver, Jr. の3名共同（DB「Andrew Viterbi」は誤り、本特許には含まれない）。Original Assignee「Qualcomm Inc」（California）、Current Assignee「Qualcomm Incorporated」（Delaware）。1986-10-17米国出願／1990-02-13米国成立	Viterbiは本特許の発明者ではない（QualcommのCDMA = Jacobs+Viterbi の単純化は誤り）／4G LTE以降はOFDMAでCDMAは引退（au cdma2000は2022-03日本停波）／スペクトル拡散自体はHedy Lamarr 1942年特許 US2292387 が起源	衛星・地上リピータ向けCDMA核特許。IS-95/cdma2000の前史。OFDMAベースの4G/5Gとは多元接続方式が異なる
IC-012	Published	インターネット・暗号特許	特許	RFID祖先特許（Communications Services Corp US3713148A）	https://patents.google.com/patent/US3713148A/en	Primary Read	インテロゲーション信号からの自家発電がパッシブRFIDの基本原理として現代のSuica・NFC決済・電子パスポート・動物マイクロチップの前史	『無線で物を識別し、応答する電力は受信信号から取り出す』──RFID祖先特許US3713148AはWaltonではなくCardullo＆Parks IIIの1970年出願だった	4	5	3	4	3	11	Claim 2以降・Description全文・Mario W. Cardulloの自伝（1969年プロトタイプ実演の主張）・William L. Parks III の経歴・Charles Waltonの関連特許群（US3752960等）との出願順比較・各国RFID標準（EPC Gen2/ISO 14443/18092/15693/11784）原文・Sony FeliCa特許群	公開済（ep37発掘メモ＋ep38発掘ノート、同一特許を2形式で扱う初例）	【DB訂正2026-05-07】発明者は Mario W. Cardullo / William L. Parks III の2名共同（DB「Charles Walton」は誤り、本特許には含まれない。Walton自身は別系統 US3752960等を1973年出願）。Original/Current Assignee「Communications Services Corporation, Inc.」。1970-05-21米国出願／1973-01-23米国成立／1990-01-23米国失効。ep38は需要起点レーン実験版（Reddit痛点7項目を起点フックに、Forward citations 185件・特許本文に「automatic highway toll device for motor vehicles」明記、Claim 4-5 で光・音響周波数まで汎化）	「最初のRFID特許はWalton」という入門書の通説は誤り（Cardullo＆Parks IIIの方が3年早い1970年出願）／RFIDは周波数帯ごとに別規格群（LF/HF/UHF/マイクロ波）で本特許1件で全体は覆えない／Suica（FeliCa）はSony独自特許群／アクティブRFIDは別設計思想	インテロゲーション信号からの自家発電を含むパッシブ無線識別の祖先。現代の各規格は別の標準仕様で記述
HW-006	Source Found	ハードウェア・エネルギー特許	特許	シリコン太陽電池特許（Bell Labs）	https://patents.google.com/patent/US2780765A/en	Primary Found Not Read	p-n接合シリコンで太陽光を電力に変換するという発明が現代のソーラーパネル・EV充電・再エネの前史として読める	Bell Labsが1957年に特許にしたシリコン太陽電池──US2780765Aが太陽光発電時代を作った	5	5	5	3	4	16	Claim 1とシリコンp-n接合の記述・NASA宇宙利用（初期人工衛星）との接続・変換効率6%→現代23%+	Claim 1と技術内容を確認	Bell Telephone Laboratories（AT&T）、Daryl Chapin/Calvin Fuller/Gerald Pearson。1954年発明・1957年特許	現代の多結晶・単結晶・ペロブスカイト太陽電池とは材料・製造プロセスが根本的に異なる	シリコンp-n接合太陽電池の前史。現代の高効率太陽電池は材料・製造で大きく発展している
HW-007	Source Found	ハードウェア・エネルギー特許	特許	インテル4004マイクロプロセッサ特許	https://patents.google.com/patent/US3821715A/en	Primary Found Not Read	単一チップにCPU機能を集積するという発明が現代のCPU・SoC・モバイルチップの前史として読める	IntelとFagginが1974年に特許にしたマイクロプロセッサ──US3821715Aが「チップ一つでコンピュータを作る」という問いを立てた	5	5	5	3	4	16	特許タイトル「Memory System for Multi-Chip Digital Computer」と4004設計との対応・Shimaの貢献・Fagginのシリコンゲート技術	Claim 1と技術内容を確認	Intel Corporation、Marcian E. Hoff Jr./Stanley Mazor/Federico Faggin。1973年出願・1974年成立	4004は電卓（Busicom）用特化設計。汎用CPU（8086等）は別の設計発展	単一チップCPU集積の前史。現代のマルチコア/超高速プロセッサとは設計が根本的に進化している
HW-008	Source Found	ハードウェア・エネルギー特許	特許	DRAM（動的ランダムアクセスメモリ）特許	https://patents.google.com/patent/US3387286A/en	Primary Found Not Read	1トランジスタ1キャパシタによる情報記憶セルが現代のDDR5メモリ・スマートフォンRAMの前史として読める	IBMのDennardが1968年に特許にしたDRAM──US3387286Aが「一つのトランジスタにビットを収める」という問いを立てた	5	5	5	3	4	16	Claim 1の記述・Dennard Scaling法則との関係・DRAMリフレッシュ動作の技術的説明	Claim 1と技術内容を確認	IBM Corporation、Robert H. Dennard。1967年出願・1968年成立	DRAMの発明後も実用化に10年以上かかった。ダイナミック記憶の問題（リフレッシュ必要）を正確に説明	単一トランジスタ+キャパシタ型揮発性記憶セルの前史。現代のDDR5は積層・低電力化で大きく進化
HW-009	Source Not Confirmed	ハードウェア・エネルギー特許	特許	OLED有機ELディスプレイ特許（Kodak）	https://patents.google.com/patent/US4356429A/en	Source Not Confirmed	有機材料から発光するデバイスが現代のOLED TV・折りたたみスマートフォン・マイクロLEDの前史として読める	Kodakが1987年に特許にしたOLED──US4356429Aが「有機物で光を出す」という問いを立てた	4	5	4	3	4	14	US4356429Aの正確な内容・Kodak→Samsung/LGへの技術継承・折りたたみOLEDとの技術関係	URL確認後にClaim 1を確認	Eastman Kodak Company、Ching W. Tang/Steven A. Van Slyke。1987年特許成立	Kodak自体はOLEDビジネスで失敗。技術の発明者と商業的成功者（Samsung/LG）は別	有機薄膜エレクトロルミネッセンスの前史。現代の高効率OLED・QD-OLEDとは材料・構造が大きく進化
HW-010	Source Not Confirmed	ハードウェア・エネルギー特許	特許	CCD固体撮像素子特許（Bell Labs）	https://patents.google.com/patent/US3792322A/en	Source Not Confirmed	光を電荷に変換して記録する固体撮像素子が現代のデジタルカメラ・スマートフォンカメラの前史として読める	Bell LabsのBoyleとSmithが1974年に特許にしたCCD──「光を電気に変えて格子状に読み出す」という問いの最初期実装	4	5	3	4	3	11	US3792322Aの正確な内容・2009年Nobel賞（Boyle/Smith）・CMOSイメージセンサーへの移行	URL確認後にClaim 1を確認	Bell Telephone Laboratories、Willard S. Boyle/George E. Smith。2009年Nobel賞受賞	現代スマートフォンカメラはCMOSイメージセンサー主流。CCDは天体観測・医療等特定用途に残存	電荷結合素子型固体撮像の前史。現代のCMOSイメージセンサーとは読み出し方式が根本的に異なる
PH-006	Source Found	医薬特許	特許	バイアグラ（シルデナフィル）特許	https://patents.google.com/patent/US5250534A/en	Primary Found Not Read	PDE5阻害薬という発見が現代のED治療・肺動脈高血圧症治療・男性健康医療の前史として読める	Pfizerが1992年に特許にしたシルデナフィル──「血管拡張の副作用を主作用に変える」という医薬開発の転換点	5	4	4	3	4	14	Claim 1の化学構造・狭心症治療薬→ED治療への転用経緯・$1B超の年間売上	Claim 1と化学構造を確認	Pfizer Inc.、Peter Dunn/Albert Wood。狭心症治療研究中に偶然発見した副作用を主作用として再開発	偶然の副作用発見から製品化への単純化は危険。臨床試験の設計と判断が重要	PDE5阻害薬による海綿体平滑筋弛緩の特許前史。現代のED治療薬群はこの先行特許から発展した
PH-007	Published	医薬特許	特許	カプトプリル（ACE阻害薬）特許	https://patents.google.com/patent/US4105776A/en	Verified	ヘビ毒の酵素阻害作用から高血圧治療薬を設計する手法が現代の分子設計型創薬の前史として読める	Squibbの ACE 阻害薬探索プログラム2系列──azetidine US4046889A と proline US4105776A（カプトプリル本体覆う）、Ondetti & Cushman 設計	5	5	4	3	4	15	Cushman & Ondetti 1977 Biochemistry vol.16 pp.5484-5491 / Ferreira 1965 Br. J. Pharmac. BPF論文 / Byers & Wolfenden 1973 Biochemistry / Squibb 社内研究記録 / 2003-2004 ACE結晶構造論文	Day 11（2026-05-07）公開済 ep45 /notes/45-pharma-patent-03	【DB訂正2026-05-07】DB登録 US4046889A はカプトプリル本体特許ではない（実体は『Azetidine-2-carboxylic acid derivatives』azetidine 4員環系列）。カプトプリル化学骨格（proline 5員環+mercaptopropanoyl）を覆うのは US4105776A『Proline derivatives and related compounds』（Priority 1976-06-21・Filing 1976-12-22・Grant 1978-08-08・Expire 1996-02-14）。両特許とも発明者「Miguel Angel Ondetti / David W. Cushman」**2名共同**（DB「Ondetti/Rubin/Cushman 3名」記載は誤り、Bernard Rubin は薬理研究論文に共著者だが特許名義には不在）。両特許とも譲受人 ER Squibb and Sons LLC	カプトプリル自体は副作用（咳）があり現代ではより選択的なACE阻害薬が主流	ターゲット特異的ペプチド模倣型ACE阻害薬の前史。現代の分子設計型降圧薬はここから発展した
PH-008	Source Found	医薬特許	特許	経口避妊薬（ノルエチンドロン）特許	https://patents.google.com/patent/US2744122A/en	Primary Found Not Read	合成プロゲスチンによる排卵抑制が現代の経口避妊薬・ホルモン療法・生殖補助医療の前史として読める	Djerassiが1956年に特許にしたノルエチンドロン──US2744122Aが「女性の生殖を化学でコントロールする」という問いを立てた	5	4	4	3	4	14	Claim 1の化学構造・Miramentesの発明者クレジット問題・Searle社との競争関係・FDA1960年承認	Claim 1と化学構造を確認	Syntex（Mexico City）、Carl Djerassi/Luis Miramontes/George Rosenkranz。1951年合成・1956年成立	Miramontes（メキシコ人学生）が最初に合成したが、特許はDjerassiとRosenkranzの名義が前面に出ている	合成プロゲスチンによる経口避妊薬の前史。現代の低用量ピル・ホルモンIUDとは用量・投与方法が進化
PH-009	Source Found	医薬特許	特許	ペニシリン大量生産特許（Moyer深層培養法）	https://patents.google.com/patent/US2442141A/en	Primary Found Not Read	ペニシリンの深層液体培養による大量生産技術が現代の抗生物質製造・バイオリアクターの前史として読める	Flemingが「発明しなかった」製造特許──US2442141Aが「ペニシリンを量産する」という工業化の問いを立てた	5	4	4	3	3	13	Claim 1の培養条件・Florey/Chainとの英米特許をめぐる協議・USDA農業省が特許を持った理由	Claim 1と技術内容を確認	USDA（US農務省）、Andrew J. Moyer（USDA Peoria Laboratory）。1945年出願・1948年成立	Flemingの発見特許ではなく製造工程特許。「Flemingが特許を取らなかった」は正確だが製造技術は特許化された	ペニシリンの深層発酵大量生産の前史。現代の組み換え生物を用いた抗生物質製造とは生産方式が根本的に異なる
